,hasID,hasTitle,hasDescription,hasNumberPage,hasPublicYear,hasExtension,hasSize,hasAuthor,hasPublisher,hasLanguage,hasRate,hasTags,hasCategory
10,2439100,"Data Mining for Business Analytics: Concepts, Techniques and Applications in Python","This book supplies insightful, detailed guidance on fundamental data mining techniques. The book guides readers through the use of Python software for developing predictive models and techniques in order to describe and find patterns in data. The authors use interesting, real-world examples to build a theoretical and practical understanding of key data mining methods, with a focus on analytics rather than programming. The book includes discussions of Python subroutines, allowing readers to work hands-on with the provided data. Throughout the book, applications of the discussed topics focus on the business problem as motivation and avoid unnecessary statistical theory. Topics covered include time series, text mining, and dimension reduction. Each chapter concludes with exercises that allow readers to expand their comprehension of the presented material. Over a dozen cases that require use of the different data mining techniques are introduced, and a related Web site features over two dozen data sets, exercise solutions, PowerPoint slides, and case solutions.",592,2020,epub,7 MB,"['Galit Shmueli', 'Peter C. Bruce', 'Peter Gedeck', 'Nitin R. Patel']",Wiley,English,3.29,"['Economy', 'Mathematical Economics']",Math
11,2811816,Mathematical Methods and Quantum Mathematics for Economics and Finance,"Given the rapid pace of development in economics and finance, a concise and up-to-date introduction to mathematical methods has become a prerequisite for all graduate students, even those not specializing in quantitative finance. This book offers an introductory text on mathematical methods for graduate students of economics and finance–and leading to the more advanced subject of quantum mathematics. The content is divided into five major sections: mathematical methods are covered in the first four sections, and can be taught in one semester. The book begins by focusing on the core subjects of linear algebra and calculus, before moving on to the more advanced topics of probability theory and stochastic calculus. Detailed derivations of the Black-Scholes and Merton equations are provided – in order to clarify the mathematical underpinnings of stochastic calculus. Each chapter of the first four sections includes a problem set, chiefly drawn from economics and finance. In turn, section five addresses quantum mathematics. The mathematical topics covered in the first four sections are sufficient for the study of quantum mathematics; Black-Scholes option theory and Merton’s theory of corporate debt are among topics analyzed using quantum mathematics.",566,2020,pdf,6 MB,['Belal Ehsan Baaquie'],Springer,English,4.4,"['Economy', 'Mathematical Economics']",Math
12,2850918,Economics and Math of Token Engineering and DeFi: Fundamentals of Token Economics,"Economics is a science. It primarily examines how decisions are made, which alternatives provide greatest benefits to various stakeholders. Contrary to popular belief, economics is not about money. It has and continues to be about the study of allocation of scarce resources (behaviours). We enforce them through incentives and disincentives (punishments).You don’t need to be an economist or technologist to understand the book. We keep things high-level to digest the information, yet coming from fundamental academic research.The difference between economics (soft science) and physics (hard science) is that economics is continuously evolves because it is a study of human behaviours. As we moved from Web 1 to Web 2 and now Web 3, the economics 101 that we initially understood has changed.While is important to be coding the tech infrastructure of Web 3.0 and having ideas of what Web 3.0 is like, an important aspect is the economics and incentive alignment of Web 3.0 users. It is easy to create a token or currency out of thin air. The token is only valuable when the economics make sense.The aim of this book is to dive into the core foundational principles of economics in Web 3.0. We explore the evolution to economics, the change in principles we learnt in Econs 101, and the new environment that economics will exist in.Then, we explore ways to apply these foundational principles in Web 3.0, with or without a token. We also tap into the general mathematics that defines the economic mechanisms.",364,2020,azw3,6 MB,['Lisa Jy Tan'],Economics Design,English,3.48,"['Economy', 'Mathematical Economics']",Math
13,2914309,Reivindicando El Capital de Marx: Una refutación al mito de su incoherencia,"Los críticos de Marx, durante más de un siglo, han proclamado la existencia de contradicciones internas en las teorías del valor, la ganancia y en diversas críticas económicas contenidas en El Capital. El presente libro, basándose en trabajos que comenzaron a principios de los ochenta, pone en tela de juicio y refuta esas acusaciones. Al hacerlo, elimina la excusa principal que permite descalificar las teorías de Marx en su forma original, y permite rechazar las diversas tentativas de ""corregirlo"", fragmentarlo o subsumirlo en una u otra escuela económica. Esta obra demuestra, pues, la inexistencia de contradicciones lógicas internas al formular una interpretación de las teorías de Marx plena de sentido y coherencia.",320,2020,pdf,22 MB,['Andrew Kliman'],El Viejo Topo,Spanish,3.08,"['Economy', 'Mathematical Economics']",Math
14,3377029,Finanza matematica. Esercizi,,210,2020,pdf,167 MB,"['Emilio Barucci', 'Daniele Marazzina', 'Francesca Grassetti']",,Italian,4.6,"['Economy', 'Mathematical Economics']",Math
15,2868624,Mathematical Modeling and Computation in Finance: With Exercises and Python and MATLAB Computer Codes,"This book discusses the interplay of stochastics (applied probability theory) and numerical analysis in the field of quantitative finance. The stochastic models, numerical valuation techniques, computational aspects, financial products, and risk management applications presented will enable readers to progress in the challenging field of computational finance.When the behavior of financial market participants changes, the corresponding stochastic mathematical models describing the prices may also change. Financial regulation may play a role in such changes too. The book thus presents several models for stock prices, interest rates as well as foreign-exchange rates, with increasing complexity across the chapters. As is said in the industry, ""do not fall in love with your favorite model."" The book covers equity models before moving to short-rate and other interest rate models. We cast these models for interest rate into the Heath-Jarrow-Morton framework, show relations between the different models, and explain a few interest rate products and their pricing.The chapters are accompanied by exercises. Students can access solutions to selected exercises, while complete solutions are made available to instructors. The MATLAB and Python computer codes used for most tables and figures in the book are made available for both print and e-book users. This book will be useful for people working in the financial industry, for those aiming to work there one day, and for anyone interested in quantitative finance. The topics that are discussed are relevant for MSc and PhD students, academic researchers, and for quants in the financial industry.",1310,2019,pdf,29 MB,"['Cornelis W. Oosterlee', 'Lech A. Grzelak']",World Scientific Europe,English,4.45,"['Economy', 'Mathematical Economics']",Math
16,2259768,New Methods in Fixed Income Modeling: Fixed Income Modeling,"This book presents new approaches to fixed income modeling and portfolio management techniques. Taking into account the latest mathematical and econometric developments in finance, it analyzes the hedging securities and structured instruments that are offered by banks, since recent research in the field of fixed incomes and financial markets has raised awareness for changes in market risk management strategies. The book offers a valuable resource for all researchers and practitioners interested in the theory behind fixed income instruments, and in their applications in financial portfolio management.",298,2018,pdf,7 MB,"['Mehdi Mili', 'Reyes Samaniego Medina', 'Filippo di Pietro (eds.)']",Springer,English,4.62,"['Economy', 'Mathematical Economics']",Math
17,2260692,Intermediate Macroeconomics,,1018,2018,pdf,6 MB,"['Eric Sims', 'Julio Garin', 'Robert Lester']",Eric Sims,English,3.16,"['Economy', 'Mathematical Economics']",Math
19,2307185,The Model Thinker: What You Need to Know to Make Data Work for You,"How anyone can become a data ninjaFrom the stock market to genomics laboratories, census figures to marketing email blasts, we are awash with data. But as anyone who has ever opened up a spreadsheet packed with seemingly infinite lines of data knows, numbers aren't enough: we need to know how to make those numbers talk. InThe Model Thinker, social scientist Scott E. Page shows us the mathematical, statistical, and computational models--from linear regression to random walks and far beyond--that can turn anyone into a genius. At the core of the book is Page's ""many-model paradigm,"" which shows the reader how to apply multiple models to organize the data, leading to wiser choices, more accurate predictions, and more robust designs.The Model Thinkerprovides a toolkit for business people, students, scientists, pollsters, and bloggers to make them better, clearer thinkers, able to leverage data and information to their advantage.",448,2018,mobi,17 MB,['Scott E. Page'],Basic Books,English,3.78,"['Economy', 'Mathematical Economics']",Math
20,2359175,Optimization methods in finance,"Optimization methods play a central role in financial modeling. This textbook is devoted to explaining how state-of-the-art optimization theory, algorithms, and software can be used to efficiently solve problems in computational finance. It discusses some classical mean–variance portfolio optimization models as well as more modern developments such as models for optimal trade execution and dynamic portfolio allocation with transaction costs and taxes. Chapters discussing the theory and efficient solution methods for the main classes of optimization problems alternate with chapters discussing their use in the modeling and solution of central problems in mathematical finance. This book will be interesting and useful for students, academics, and practitioners with a background in mathematics, operations research, or financial engineering. The second edition includes new examples and exercises as well as a more detailed discussion of mean–variance optimization, multi-period models, and additional material to highlight the relevance to finance. -- Read more... Abstract: This is a thorough treatment of optimization techniques that solve central challenges in finance. It gives a complete picture of model formulation, gathering relevant data, and computational implementation for each problem discussed. Theory and practical applications are woven together and enriched with worked examples, exercises, and case studies. Read more...",337,2018,pdf,3 MB,"['Cornuejols', 'Gerard', 'Peña', 'Javier Francisco', 'Tütüncü', 'Reha']",Cambridge University Press,English,3.66,"['Economy', 'Mathematical Economics']",Math
21,2454262,Advanced Macroeconomics,"The fifth edition of Romer's Advanced Macroeconomics continues its tradition as the standard text and the starting point for graduate macroeconomics courses and helps lay the groundwork for students to begin doing research in macroeconomics and monetary economics. Romer presents the major theories concerning the central questions of macroeconomics. The theoretical analysis is supplemented by examples of relevant empirical work, illustrating the ways that theories can be applied and tested. In areas ranging from economic growth and short-run fluctuations to the natural rate of unemployment and monetary policy, formal models are used to present and analyze key ideas and issues.The book has been extensively revised to incorporate important new topics and new research, eliminate inessential material, and further improve the presentation.",800,2018,pdf,6 MB,['David Romer'],McGraw-Hill Education,English,4.65,"['Economy', 'Mathematical Economics']",Math
22,3182776,Where We Go from Here: Chaos to Community / A Modest Proposal for the Livable Income Security Act of 2019,"A primary research resource and catalyst for everyday people, activists, academics, and policy makers to make the transition from merely exploring basic income as an interesting concept to implementing it as a policy, at scale. Toaccomplish this task, we begin by asking why civilization emerged in the first place, how those purposes change over time, what it is we believe civilization is designed to achieve today, and where we are currently situated, on the timeline of human history, so that we may better understand both the context and urgency of the current, precarious economic plight of the vast majority of Americans.",237,2018,pdf,2 MB,"[""'A'ohe Mea""]",,English,4.23,"['Economy', 'Mathematical Economics']",Math
23,1620767,Advanced Algorithmic Trading,,0,2017,pdf,14 MB,['Michael Halls Moore'],,English,4.33,"['Economy', 'Mathematical Economics']",Math
24,2199386,The Infographic Guide to Personal Finance,"The Infographic Guide to Personal Finance: A Visual Reference for Everything You Need to Know by Michele Cagan, Elisabeth Lariviere. This illustrated beginner’s guide to personal finance distills essential information into small, easy-to-follow steps to help you get your finances in order.Get your finances in shape! In The Infographic Guide to Personal Finance, you will learn all the skills you need to make good financial decisions and grow your personal wealth. Full of colorful descriptions organized in an easy-to-read format, this book contains infographics such as:-Choosing your bank-Building an emergency fund-Choosing a financial planner-Where your money is going-What not to buy-Health insurance-Property insurance-What federal taxes pay forWith the help of this guide, you’ll learn how to make good investments, save for big things like a house or college tuition, budget, and more!",128,2017,epub,19 MB,"['Michele Cagan', 'Elisabeth Lariviere']",Adams Media,English,3.2,"['Economy', 'Mathematical Economics']",Math
25,2273449,KPIs útiles Diseña Indicadores operativos que realmente sirvan para mejorar,"Con demasiada frecuencia, los indicadores para gestionar los procesos no acaban siendo útiles en la práctica. Si necesitas diseñar y gestionar KPIs (Indicadores Clave de Desempeño) para mejorar los procesos de la organización y evitar las trampas comunes… ¡este es tu libro ! Es una guía práctica, visual y concisa con la que aprenderás: a reconocer y evitar las 10 trampas frecuentes en la gestión de los KPIs, a organizar las bases para que los KPIs sean útiles y a utilizar un MÉTODO EN 5 PASOS para diseñar KPIs Operativos. Además, encontrarás casos reales, muchos ejemplos y plantillas para descargar",129,2017,pdf,23 MB,['Roberto Corral'],LEEXONLINE  www.leexonline.com,Spanish,4.48,"['Economy', 'Mathematical Economics']",Math
26,2299852,Learning Quantitative Finance with R,,320,2017,pdf,6 MB,"['Jeet', 'Parem and Vats', 'Prashant']",Packt Publishing,English,4.06,"['Economy', 'Mathematical Economics']",Math
27,2358386,Economics of Pessimism and Optimism: Theory of Knightian Uncertainty and Its Applications,,326,2017,pdf,2 MB,"['Nishimura', 'Kiyohiko G.', 'Ozaki', 'Hiroyuki']",Springer Japan : Imprint : Springer,English,4.56,"['Economy', 'Mathematical Economics']",Math
28,2358448,Equilibrium models in economics purposes and critical limitations,"The purpose and problems for equilibrium models -- Equilibrium models and explanation -- Equilibrium attainment vs. equilibrium necessities -- Does general equilibrium attainment imply universal maximization? -- Time and knowledge matters : general equilibrium attainment -- Equilibrium concepts and critiques : two cultures -- The limits of equilibrium models -- Recognizing knowledge in equilibrium models -- Limits of equilibrium methodology an educational dialogue -- Equilibrium models vs. realistic understanding -- Macroeconomic equilibrium model building and the stability problem -- Equilibrium models intended to overcome limits -- Equilibrium models vs. evolutionary economic models -- Equilibrium models vs. complexity economics -- Building models of price dynamics -- Building models of non-clearing markets -- Building models of learning and the equilibrium process -- Bibliography -- Names index -- Subject index Read more... Abstract: The concept of equilibrium is fundamental to economic theory, according to which, it exists when supply and demand are balanced. Equilibrium Models in Economics critically examines the major problematic assumptions employed to build equilibrium models. It gives particular attention to the assumptions used to characterize learning, knowledge and expectations. Read more...",264,2017,pdf,2 MB,"['Boland', 'Lawrence A']",Oxford University Press,English,4.05,"['Economy', 'Mathematical Economics']",Math
29,2937277,Instructor’s Manual for Fundamental Methods of Mathematical Economics,,144,2017,pdf,1 MB,"['Alpha C. Chiang', 'Kevin Wainwright']",McGraw-Hill,English,4.77,"['Economy', 'Mathematical Economics']",Math
30,3358874,Macroeconomía para la Gerencia Latinoamericana,"Los autores, motivados por su amplia experiencia docente, presentan pedagógicamente el análisis de conceptos y modelos tradicionales para la comprensión de los aspectos teóricos que le dan cuerpo a la macroeconomía desde un punto de vista gerencial, acompañados de casos y situaciones reales de los negocios y de la problemática económica del mercado Latinoamericano. El libro inicia con la teoría keynesiana y la Neoclásica, teniendo un enfoque en los nuevos desarrollos de la macroeconomía, fruto de las crisis económicas mundiales de las dos últimas décadas. Además presenta una sección de análisis de la problemática económica en América Latina y las políticas económicas para lograr una región más próspera e incluyente.Este texto está dirigido a estudiantes de programas de Economía, Administración, Contaduría y afines, MBA y empresarios interesados en conocer la dinámica de la macroeconomía en América Latina.",232,2017,pdf,167 MB,"['Héctor Ochoa Díaz', 'Carlos Giovanni González Espitia']",ECOE Ediciones,Spanish,4.27,"['Economy', 'Mathematical Economics']",Math
31,1498860,Visualizing Financial Data,"A fresh take on financial data visualization for greater accuracy and understandingYour data provides a snapshot of the state of your business and is key to the success of your conversations, decisions, and communications. But all of that communication is lost — or incorrectly interpreted — without proper data visualizations that provide context and accurate representation of the numbers. In Visualizing Financial Data, authors Julie Rodriguez and Piotr Kaczmarek draw upon their understanding of information design and visual communication to show you how to turn your raw data into meaningful information. Coverage includes current conventions paired with innovative visualizations that cater to the unique requirements across financial domains, including investment management, financial accounting, regulatory reporting, sales, and marketing communications.Presented as a series of case studies, this highly visual guide presents problems and solutions in the context of real-world scenarios. With over 250 visualizations, you’ll have access to relevant examples that serve as a starting point to your implementations.• Expand the boundaries of data visualization conventions and learn new approaches to traditional charts and graphs• Optimize data communications that cater to you and your audience• Provide clarity to maximize understanding• Solve data presentation problems using efficient visualization techniques• Use the provided companion website to follow along with examplesThe companion website gives you the illustration files and the source data sets, and points you to the types of resources you need to get started.",483,2016,pdf,25 MB,"['Julie Rodriguez', 'Piotr Kaczmarek']",Wiley,English,4.18,"['Economy', 'Mathematical Economics']",Math
32,1499569,Handbook of Computational Social Choice,"The rapidly growing field of computational social choice, at the intersection of computer science and economics, deals with the computational aspects of collective decision making. This handbook, written by thirty-six prominent members of the computational social choice community, covers the field comprehensively. Chapters devoted to each of the field's major themes offer detailed introductions. Topics include voting theory (such as the computational complexity of winner determination and manipulation in elections), fair allocation (such as algorithms for dividing divisible and indivisible goods), coalition formation (such as matching and hedonic games), and many more. Graduate students, researchers, and professionals in computer science, economics, mathematics, political science, and philosophy will benefit from this accessible and self-contained book.Chapters were written by many prominent members of the computational social choice community.Accessible to readers from a variety of disciplines, especially computer science, economics, and mathematics.The authoritative reference work on computational social choice.'The book offers to noneconomists an outstanding self-contained introduction to normative themes in contemporary economics and to economists a thorough discussion of the computational limits of their art. But I also recommend it to anyone with a taste for axiomatics: it is replete with new and open questions that will be with us for some time.' Hervé Moulin, from the Foreword.",554,2016,pdf,4 MB,"['Felix Brandt', 'Vincent Conitzer', 'Ulle Endriss', 'Jérôme Lang', 'Ariel D. Procaccia (eds.)']",Cambridge University Press,English,3.78,"['Economy', 'Mathematical Economics']",Math
33,1705765,Modern Monetary Theory and Practice: An Introductory Text,Modern Monetary Theory and Practice: An Introductory Text is an introductory textbook for university-level macroeconomics students. It is based on the principles of Modern Monetary Theory (MMT) and includes the following detailed chapters: Chapter 1: Introduction Chapter 2: How to Think and Do Macroeconomics Chapter 3: A Brief Overview of the Economic History and the Rise of Capitalism Chapter 4: The System of National Income and Product Accounts Chapter 5: Sectoral Accounting and the Flow of Funds Chapter 6: Introduction to Sovereign Currency: The Government and its Money Chapter 7: The Real Expenditure Model Chapter 8: Introduction to Aggregate Supply Chapter 9: Labour Market Concepts and Measurement Chapter 10: Money and Banking Chapter 11: Unemployment and Inflation Chapter 12: Full Employment Policy Chapter 13: Introduction to Monetary and Fiscal Policy Operations Chapter 14: Fiscal Policy in Sovereign nations Chapter 15: Monetary Policy in Sovereign Nations It is intended as an introductory course in macroeconomics and the narrative is accessible to students of all backgrounds. All mathematical and advanced material appears in separate Appendices.,0,2016,pdf,3 MB,"['William Mitchell', 'L. Randall Wray', 'Martin Watts']",,English,3.39,"['Economy', 'Mathematical Economics']",Math
34,2150849,FRM part 2 book 4,,252,2016,pdf,7 MB,['misc. authors'],,English,4.44,"['Economy', 'Mathematical Economics']",Math
35,2360689,Математические методы и модели в логистике,,107,2016,djvu,1 MB,"['Богданов А.И.', 'Селезнёв А.А.']",СПБГУ,Russian,3.27,"['Economy', 'Mathematical Economics']",Math
